1375196305484 	 1 	 1.50421 	 0.293935 	 0.376906 
1375196305484 	 2 	 1.4836 	 -0.444668 	 0.38516 
1375196305584 	 1 	 1.50894 	 0.295061 	 0.374667 
1375196305584 	 2 	 1.47614 	 -0.449286 	 0.381886 
1375196305684 	 1 	 1.50489 	 0.294192 	 0.375416 
1375196305684 	 2 	 1.48133 	 -0.455802 	 0.381061 
1375196305884 	 1 	 1.50221 	 0.293621 	 0.374717 
1375196305884 	 2 	 1.46665 	 -0.457461 	 0.373962 
1375196305984 	 1 	 1.50343 	 0.295055 	 0.375382 
1375196305984 	 2 	 1.46552 	 -0.457273 	 0.375295 
1375196306084 	 1 	 1.50333 	 0.295171 	 0.374245 
1375196306084 	 2 	 1.46889 	 -0.457721 	 0.374831 
1375196306284 	 1 	 1.50433 	 0.295943 	 0.373845 
1375196306384 	 2 	 1.47841 	 -0.455207 	 0.377576 
1375196306484 	 1 	 1.5034 	 0.296712 	 0.374189 
1375196306484 	 2 	 1.48339 	 -0.456679 	 0.379473 
1375196306584 	 1 	 1.50246 	 0.29587 	 0.373552 
1375196306584 	 2 	 1.48463 	 -0.455719 	 0.380255 
1375196306684 	 1 	 1.50305 	 0.295695 	 0.374267 
1375196306684 	 2 	 1.4854 	 -0.455722 	 0.383534 
1375196306784 	 1 	 1.50582 	 0.295889 	 0.37448 
1375196306784 	 2 	 1.48361 	 -0.454132 	 0.37968 
1375196306884 	 1 	 1.50189 	 0.295635 	 0.373412 
1375196306884 	 2 	 1.48389 	 -0.453966 	 0.380706 
1375196306984 	 1 	 1.50354 	 0.296812 	 0.373712 
1375196306984 	 2 	 1.4872 	 -0.455855 	 0.379811 
1375196307184 	 1 	 1.50473 	 0.298631 	 0.374544 
1375196307184 	 2 	 1.48635 	 -0.458403 	 0.37903 
1375196307284 	 1 	 1.50563 	 0.298438 	 0.373913 
1375196307284 	 2 	 1.48514 	 -0.458418 	 0.380127 
1375196307384 	 1 	 1.50336 	 0.29791 	 0.373673 
1375196307384 	 2 	 1.48208 	 -0.459022 	 0.380321 
1375196307484 	 1 	 1.50326 	 0.297716 	 0.374207 
1375196307484 	 2 	 1.47646 	 -0.457717 	 0.377225 
1375196307584 	 1 	 1.50042 	 0.297712 	 0.373112 
1375196307684 	 2 	 1.46501 	 -0.455397 	 0.374909 
1375196307784 	 1 	 1.50132 	 0.299507 	 0.373689 
1375196307784 	 2 	 1.46445 	 -0.455558 	 0.375274 
1375196307884 	 1 	 1.50409 	 0.304544 	 0.371011 
1375196307884 	 2 	 1.46213 	 -0.456223 	 0.372715 
1375196307984 	 1 	 1.4978 	 0.310089 	 0.366463 
1375196307984 	 2 	 1.46259 	 -0.45613 	 0.373469 
1375196308084 	 1 	 1.50685 	 0.325636 	 0.361867 
1375196308184 	 2 	 1.47708 	 -0.460961 	 0.378543 
1375196308284 	 1 	 1.50731 	 0.358675 	 0.359943 
1375196308284 	 2 	 1.47607 	 -0.462664 	 0.386179 
1375196308384 	 1 	 1.50397 	 0.369976 	 0.357458 
